trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
58,2021-08-02 04:00:00+00:00,买入,233.33,415325,96909164.55,6.7,,,,
58,2021-08-23 04:00:00+00:00,卖出,228.48,415325,94893454.23,94893460.93,-2015710.33,-2.08,93893460.94,9389.35
59,2021-08-24 04:00:00+00:00,买入,236.89,400574,94893307.09,153.84,,,,
59,2021-12-06 05:00:00+00:00,卖出,333.84,400574,133726290.22,133726444.05,38832983.13,40.92,132726444.07,13272.64
60,2021-12-30 05:00:00+00:00,买入,353.78,377996,133726167.05,277.01,,,,
60,2022-01-21 05:00:00+00:00,卖出,332.11,377996,125537514.93,125537791.94,-8188652.12,-6.12,124537791.95,12453.78
61,2022-03-22 04:00:00+00:00,买入,310.0,404960,125537600.0,191.94,,,,
61,2022-04-27 04:00:00+00:00,卖出,299.53,404960,121296321.24,121296513.18,-4241278.76,-3.38,120296513.19,12029.65
62,2022-06-28 04:00:00+00:00,买入,244.48,496134,121296496.12,17.06,,,,
62,2022-07-05 04:00:00+00:00,卖出,223.0,496134,110637882.0,110637899.06,-10658614.12,-8.79,109637899.07,10963.79
63,2022-07-11 04:00:00+00:00,买入,252.1,438859,110637816.41,82.65,,,,
63,2022-08-31 04:00:00+00:00,卖出,280.62,438859,123152610.44,123152693.09,12514794.03,11.31,122152693.1,12215.27
64,2023-01-25 05:00:00+00:00,买入,141.91,867822,123152623.2,69.89,,,,
64,2023-03-09 05:00:00+00:00,卖出,180.25,867822,156424915.5,156424985.39,33272292.3,27.02,155424985.4,15542.5
65,2023-03-31 04:00:00+00:00,买入,197.53,791904,156424796.15,189.24,,,,
65,2023-04-11 04:00:00+00:00,卖出,186.69,791904,147840559.69,147840748.93,-8584236.46,-5.49,146840748.94,14684.07
66,2023-05-22 04:00:00+00:00,买入,180.7,818155,147840606.0,142.93,,,,
66,2023-07-27 04:00:00+00:00,卖出,268.31,818155,219519166.05,219519308.98,71678560.05,48.48,218519308.99,21851.93
